title,director,year,genre,URL
you've got mail,Nora Ephron,1998,romantic comedy,https://en.wikipedia.org/wiki/You%27ve_Got_Mail
I am sam,Jessie Nelson,2001,American drama,https://en.wikipedia.org/wiki/I_Am_Sam
The Shawshank Redemption,Frank Darabont,1994,American drama,https://en.wikipedia.org/wiki/The_Shawshank_Redemption
Beautiful mind,Ron Howard,2001,biographical dorama,https://en.wikipedia.org/wiki/A_Beautiful_Mind_(film)
Invictus,Clint Eastwood,2009,biographical sports drama,https://en.wikipedia.org/wiki/Invictus_(film)
5 Fights Up,Richard Loncraine,2014,American drama,https://en.wikipedia.org/wiki/5_Flights_Up
Dead Poet Society,Peter Weir,1989,American drama,https://en.wikipedia.org/wiki/Dead_Poets_Society
A Perfect warld,Clint Eastwood,1993,Crime drama,https://en.wikipedia.org/wiki/A_Perfect_World
English Vinglish,Gauri Shinde,2012,Comedy drama,https://en.wikipedia.org/wiki/English_Vinglish
The Usual Suspects,Bryan Singer,1995,mystery,https://en.wikipedia.org/wiki/The_Usual_Suspects
